"lat","lon","Name","Phonetic","PostalCode","Address","都道府県"
"38.9173271","139.8320627","酒田酒造","さかたしゅぞう","〒998-0037","山形県酒田市日吉町2-3-25","山形県"
"37.4472077","139.8306125","白井酒造店","しらいしゅぞうてん","〒969-6251","福島県大沼郡会津美里町永井野中町1862","福島県"
"37.5610617","139.8282363","曙酒造","あけぼのしゅぞう","〒969-6537","福島県河沼郡会津坂下町戌亥乙2","福島県"
"37.5603339","139.8266643","豊国酒造","とよくにしゅぞう","〒969-6536","福島県河沼郡会津坂下町市中一番甲3554","福島県"
"37.5606755","139.8257088","廣木酒造本店","ひろきしゅぞうほんてん","〒969-6543","福島県河沼郡会津坂下町市中二番甲3574","福島県"
"38.8538597","139.8137605","菊勇","きくいさみ","〒998-0111","山形県酒田市黒森葭葉山650","山形県"
"38.8778483","139.8111793","東北銘醸","とうほくめいじょう","〒998-0114","山形県酒田市十里塚村東山125-3","山形県"
"36.4416671","139.8035566","相良酒造","さがらしゅぞう","〒329-4307","栃木県下都賀郡岩舟町静3624","栃木県"
"36.1117593","139.7962645","萩原酒造","はぎわらしゅぞう","〒306-0433","茨城県猿島郡境町565-1","茨城県"
"36.2937676","139.7871997","西堀酒造","にしぼりしゅぞう","〒329-0201","栃木県小山市粟宮1452","栃木県"
"36.3851682","139.7840101","北関酒造","ほっかんしゅぞう","〒328-0004","栃木県栃木市田村町480","栃木県"
"36.7679237","139.7836011","松井酒造店","まついしゅぞうてん","〒329-2441","栃木県塩谷郡塩谷町船生3683","栃木県"
"38.8286286","139.7789595","オードヴィ庄内","お－どうぃしょうない","〒998-0112","山形県酒田市浜中乙123","山形県"
"36.3640595","139.7782392","若駒酒造","わかこましゅぞう","〒323-0008","栃木県小山市小薬169-1","栃木県"
"37.2010308","139.7718239","国権酒造","こっけんしゅぞう","〒967-0004","福島県南会津郡南会津町田島上町甲4037","福島県"
"36.3460554","139.76948","小林酒造","こばやししゅぞう","〒323-0061","栃木県小山市卒島743","栃木県"
"38.7478989","139.7683353","渡會本店","わたらいほんてん","〒997-1124","山形県鶴岡市大山2-2-8","山形県"
"38.7474628","139.7674743","羽根田酒造","はねだしゅぞう","〒997-1124","山形県鶴岡市大山2-1-15","山形県"
"38.7496181","139.7672965","加藤嘉八郎酒造","かとうかはちろうしゅぞう","〒997-1124","山形県鶴岡市大山3-1-38","山形県"
"38.7509623","139.7664271","冨士酒造","ふじしゅぞう","〒997-1124","山形県鶴岡市大山3-32-48","山形県"
"37.6020018","139.7573802","会津錦","あいづにしき","〒969-4311","福島県喜多方市高郷町西羽賀2524","福島県"
